frame,primary_activation,secondary_activation,combined_activation
150,6.101686274954356e-22,0.42296628081993304,0.42296628081993304
151,8.813559534272154e-63,0.4560725315234412,0.4560725315234412
152,0.0,0.37109007360734236,0.37109007360734236
153,0.0,0.08883100472988213,0.08883100472988213
154,0.0,0.04154645506510939,0.04154645506510939
155,0.0,0.07445397343748493,0.07445397343748493
156,0.0,0.12654105596252266,0.12654105596252266
157,0.0,0.23458208986195303,0.23458208986195303
158,1.626646377694557e-101,0.37045926156551295,0.37045926156551295
159,2.517514220439657e-23,0.4483781404319057,0.4483781404319057
160,5.525087451895815e-9,0.3974351983220011,0.3974352038470885
161,0.00034455793230904827,0.302191107838035,0.302535665770344
162,0.024353358958287,0.29605228161170766,0.32040564056999465
163,0.11806082773851936,0.3319146062252736,0.4499754339637929
164,0.19952004940080464,0.3513210771650424,0.550841126565847
165,0.20400419557408686,0.35016114835212553,0.5541653439262124
166,0.14977475120208897,0.3375551492571764,0.4873299004592654
167,0.08171030838197776,0.32104029279882573,0.4027506011808035
168,0.032279324466857794,0.3049879861933788,0.3372673106602366
169,0.008603318576891747,0.29115749891766124,0.29976081749455297
170,0.0013854301047597473,0.2800619681811607,0.2814473982859204
171,0.0001145402183643277,0.2715615550424333,0.2716760952607976
172,3.796753146836043e-6,0.2650947831931362,0.265098579946283
173,3.246508627908582e-8,0.25927058279835763,0.2592706152634439
174,3.947820516096859e-11,0.2539897899642358,0.253989790003714
175,3.18115290344634e-15,0.2500124527525773,0.25001245275258044
176,7.288271735619617e-21,0.24860382106794088,0.24860382106794088
177,1.5546373236972208e-28,0.25007749562309417,0.25007749562309417
178,7.608095225478712e-39,0.2541719082720465,0.2541719082720465
179,2.082425017108465e-52,0.26043413919612696,0.26043413919612696
180,2.411810660554306e-69,0.26847975912119243,0.26847975912119243
181,9.243673503573411e-91,0.27767586885919465,0.27767586885919465
182,1.1239332366362849e-114,0.2885645510920087,0.2885645510920087
183,2.6563963967568986e-131,0.30535919409901047,0.30535919409901047
184,1.0611505696936495e-127,0.333939525605613,0.333939525605613
185,2.8489798363214134e-100,0.37386272251066416,0.37386272251066416
186,1.398783379319641e-64,0.4141965763519092,0.4141965763519092
187,4.082108612867489e-36,0.43729201257389455,0.43729201257389455
188,4.628634959387273e-19,0.39744938243212147,0.39744938243212147
189,5.827260790563884e-10,0.28126043017356384,0.2812604307562899
190,3.301514851168922e-5,0.2845764296012729,0.28460944474978456
191,0.00919386949265783,0.4163356854649985,0.4255295549576563
192,0.14507793767745525,0.4560800938631168,0.601158031540572
193,0.4843086161079082,0.44868640454434927,0.9329950206522575
194,0.74059255192042,0.4448249095130132,1.1854174614334332
195,0.8047531796339602,0.4287171804334738,1.233470360067434
196,0.7824933863638494,0.391993174967171,1.1744865613310203
197,0.7508222613886603,0.34500415232212545,1.0958264137107858
198,0.7317704173334065,0.30313117474273577,1.0349015920761424
199,0.7261363921962047,0.2747575901494222,1.0008939823456269
200,0.7294941507420325,0.2613814087721156,0.9908755595141481
